State,Session,Bill-Number,Introduced,Name,Last-Action,Action-Date,Sponsor-List,Actions,Versions,Bill-Url,Source
CA,,SB1106,,Instructional materials: follow-up adoptions.,From Assembly without further action.,11/30/2016,Connie Leyva,23,2,https://www.billtrack50.com/BillDetail/715355,billtrack50
US,,HR5602,,To amend title 31; United States Code; to authorize the Secretary of the Treasury to include all funds when issuing certain geographic targeting orders; and for other purposes.,Message on Senate action sent to the House.,12/12/2016,Andy Barr; Keith Ellison; Mike Fitzpatrick; Bill Foster; Al Green; French Hill; Peter King; Stephen Lynch; Gregory Meeks; Robert Pittenger; Bruce Poliquin; Brad Sherman; Steve Stivers; Maxine Waters,24,3,https://www.billtrack50.com/BillDetail/747597,billtrack50
US,,S2943,,National Defense Authorization Act for Fiscal Year 2017,Signed by President.,12/23/2016,John McCain,138,3,https://www.billtrack50.com/BillDetail/743465,billtrack50
NY,,S00490,,Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs.,REFERRED TO INVESTIGATIONS AND GOVERNMENT OPERATIONS,1/4/2017,Daniel Squadron,1,1,https://www.billtrack50.com/BillDetail/761868,billtrack50
NY,,S00492,,Relates to the procurement and use of Open Source Initiative approved open source license by state agencies.,REFERRED TO FINANCE,1/4/2017,Daniel Squadron,1,1,https://www.billtrack50.com/BillDetail/761622,billtrack50
MN,,SF222,,Minnesota health plan; Minnesota health board; Minnesota health fund; office of health quality and planning; ombusdman for patient advocacy and auditor general for the Minnesota health plan creation and appropriation,Author added Klein,1/26/2017,Jeff Hayden; John Hoffman; Matt Klein,3,1,https://www.billtrack50.com/BillDetail/783877,billtrack50
HI,,SB1126,,Relating To Technology Development.,Referred to ETT; WAM.,1/27/2017,Brian Taniguchi,3,1,https://www.billtrack50.com/BillDetail/795724,billtrack50
OK,,SB540,,Public finance; exempting Department of Corrections from information technology requirements. Emergency.,Referred to Appr/Sub-Public Safety and Judiciary,2/7/2017,Ralph Shortey,4,1,https://www.billtrack50.com/BillDetail/790534,billtrack50
VA,,HJR954,,Commending Kurt O'Connor.,Bill text as passed House and Senate (HJ954ER),2/23/2017,John Bell; Jennifer Boysko,7,2,https://www.billtrack50.com/BillDetail/826210,billtrack50
VA,,HJR958,,Commending Gabriel Filippini.,Bill text as passed House and Senate (HJ958ER),2/23/2017,John Bell; Jennifer Boysko,7,2,https://www.billtrack50.com/BillDetail/826246,billtrack50
MN,,HF1809,,Competitive bids for providing online courses required.,Introduction and first reading; referred to Environment and Natural Resources Policy and Finance,2/27/2017,Jamie Becker-Finn; Steve Drazkowski; Rob Ecklund; Jim Nash; Mike Sundin,1,1,https://www.billtrack50.com/BillDetail/841318,billtrack50
US,,S495,,Medical Innovation Prize Fund Act,Read twice and referred to the Committee on Health; Education; Labor; and Pensions.,3/2/2017,Bernard Sanders,1,1,https://www.billtrack50.com/BillDetail/846680,billtrack50
MN,,SF1766,,Online hunter education and safety course competitive bids requirement,Referred to Environment and Natural Resources Policy and Legacy Finance,3/6/2017,Kari Dziedzic; David Tomassoni; Bill Weber,2,1,https://www.billtrack50.com/BillDetail/847128,billtrack50
NM,,SB189,,Health Info Exchange Liability & Planning,Senate Finance Committee (00:00 3/8/2017 Room 325),3/8/2017,Linda Lopez; Cisco McSorley; Howie Morales; Gerald Ortiz y Pino; Michael Padilla; Mary Papen; Nancy Rodriguez; William Soules; Elizabeth Stefanics; Jeff Steinborn; Mimi Stewart; Bill Tallman,11,1,https://www.billtrack50.com/BillDetail/797516,billtrack50
MN,,HF488,,Health care availability and affordability for every Minnesotan guaranteed; Minnesota Health Plan; Minnesota Health Board; Minnesota Health Fund; Office of Health Quality and Planning; ombudsman for patient advocacy; and auditor general for the Minnesota Heath Plan established; 1332 waiver requested; rulemaking authorized; and money appropriated.,Author added Wagenius.,3/23/2017,Jon Applebaum; David Bly; Karen Clark; Alice Hausman; Frank Hornstein; Sheldon Johnson; Mary Kunesh-Podein; John Lesch; Jason Metsa; Erin Murphy; Mary Murphy; Julie Sandstede; Paul Thissen; Jean Wagenius,3,1,https://www.billtrack50.com/BillDetail/799025,billtrack50
OK,,SB458,,Public finance; agencies subject to certain information technology requirements; requiring special audit.,Coauthored by Senator Pittman,3/28/2017,Leslie Osborn; Anastasia Pittman; Roger Thompson,13,3,https://www.billtrack50.com/BillDetail/785309,billtrack50
OK,,SB458,,Public finance; agencies subject to certain information technology requirements; requiring special audit.,Coauthored by Senator Pittman,3/28/2017,Leslie Osborn; Anastasia Pittman; Roger Thompson,10,3,https://www.billtrack50.com/BillDetail/905544,billtrack50
US,,S771,,Improving Access To Affordable Prescription Drugs Act,Read twice and referred to the Committee on Finance.,3/29/2017,Tammy Baldwin; Richard Blumenthal; Cory Booker; Sherrod Brown; Richard Durbin; Al Franken; Kirsten Gillibrand; Maggie Hassan; Amy Klobuchar; Jeff Merkley; Jack Reed; Bernard Sanders; Tom Udall; Chris Van Hollen; Elizabeth Warren; Sheldon Whitehouse,1,1,https://www.billtrack50.com/BillDetail/865544,billtrack50
US,,HR1776,,Improving Access To Affordable Prescription Drugs Act,Referred to the Subcommittee on Health.,4/5/2017,Nanette Barragan; Judy Chu; Steve Cohen; John Conyers; Elijah Cummings; Peter DeFazio; Rosa DeLauro; Keith Ellison; Raul Grijalva; Pramila Jayapal; Betty McCollum; Richard Nolan; Collin Peterson; Chellie Pingree; Mark Pocan; Bobby Rush; Tim Ryan; Jan Schakowsky; Carol Shea-Porter; Pete Visclosky; Peter Welch,7,1,https://www.billtrack50.com/BillDetail/865546,billtrack50
TX,,HB413,,Relating to increased flexibility in the use of the Instructional Materials Allotment,Left pending in committee,4/18/2017,Diego Bernal,9,1,https://www.billtrack50.com/BillDetail/754300,billtrack50
HI,,HB1329,,Relating To Technology Development.,Conference Committee Meeting (13:30 4/25/2017 Conference Room 423),4/25/2017,Thomas Brower; Jarrett Keohokalole; Mark Nakashima; Scott Nishimoto; Scott Saiki; Chris Todd; Kyle Yamashita,40,3,https://www.billtrack50.com/BillDetail/796089,billtrack50
TX,,HB3487,,Relating to the creation of an instructional materials web portal by the commissioner of education.,Withdrawn from schedule,4/25/2017,Dan Huberty,6,1,https://www.billtrack50.com/BillDetail/852423,billtrack50
NC,,H917,,Establish Bd of Postsecondary Ed. Credentials,Ref To Com On Appropriations,4/26/2017,Hugh Blackwell; John Fraley; Frank Iler; Robert Steinburg,3,2,https://www.billtrack50.com/BillDetail/872974,billtrack50
US,,HR1989,,VET TEC Act Veteran Employment Through Technology Education Courses Act,House Subcommittee on Economic Opportunity Hearing (10:00 4/26/2017 334 CHOB),4/26/2017,Jim Banks; Susan Brooks; Ken Calvert; Barbara Comstock; Ryan Costello; Rick Crawford; Daniel Donovan; Brian Fitzpatrick; Tulsi Gabbard; Brett Guthrie; Will Hurd; Walter Jones; Rohit Khanna; Stephen Knight; Doug LaMalfa; Doug Lamborn; Roger Marshall; Kevin McCarthy; Tom McClintock; Cathy McMorris Rodgers; Beto O'Rourke; Erik Paulsen; Hal Rogers; Ed Royce; Tim Ryan; Elise Stefanik; Steve Stivers; David Valadao; Greg Walden; Kevin Yoder; Theodore Yoho,4,1,https://www.billtrack50.com/BillDetail/868998,billtrack50
TX,,HB4140,,Relating to the instructional materials and technology allotment; open education resource instructional materials; and the State Board of Education long-range technology plan.,Committee report sent to Calendars,5/6/2017,Dwayne Bohac,15,2,https://www.billtrack50.com/BillDetail/855044,billtrack50
US,,HRes334,,Expressing the sense of the House of Representatives regarding grid modernization.,Referred to the Subcommittee on Energy.,5/19/2017,Bob Latta; Jerry McNerney,5,1,https://www.billtrack50.com/BillDetail/879258,billtrack50
TX,,SB1481,,Relating to the instructional materials and technology allotment; open education resource instructional materials; and the State Board of Education long-range technology plan.,Placed on General State Calendar,5/23/2017,Dwayne Bohac; Donna Howard; Larry Taylor,37,4,https://www.billtrack50.com/BillDetail/852487,billtrack50
TX,,SB1484,,Relating to the creation of an instructional materials web portal by the commissioner of education.,Returned to Local & Consent Calendars Comm.,5/24/2017,Sylvia Garcia; Dan Huberty; Larry Taylor,43,4,https://www.billtrack50.com/BillDetail/852339,billtrack50
MD,,SB424,,The Textbook Cost Savings Act of 2017,Approved by the Governor - Chapter 763,5/25/2017,Joanne Benson; Bob Cassilly; Joan Conway; Ulysses Currie; Brian Feldman; Bill Ferguson; Guy Guzzone; Cheryl Kagan; Delores Kelley; Katherine Klausmeier; Susan Lee; Richard Madaleno; Roger Manno; Nathaniel McFadden; Douglas Peters; Victor Ramirez; Barbara Robinson; James Rosapepe; Andrew Serafini; Will Smith; Ronald Young; Craig Zucker,19,4,https://www.billtrack50.com/BillDetail/799493,billtrack50
US,,S1258,,PRIDE Act Police Reporting Information; Data; and Evidence Act of 2017,Read twice and referred to the Committee on the Judiciary.,5/25/2017,Cory Booker; Chris Van Hollen,1,1,https://www.billtrack50.com/BillDetail/881223,billtrack50
ME,,LD1603,,An Act To Provide Flexibility for Education Technology Programs in Maine Schools,Placed in Legislative Files (DEAD),6/6/2017,Karen Gerrish,14,1,https://www.billtrack50.com/BillDetail/877990,billtrack50
OK,,SB105,,State information technology; modifying duties of Chief Information Officer. Effective date. Emergency.,Approved by Governor 06/06/2017,6/6/2017,Leslie Osborn; Roger Thompson,42,9,https://www.billtrack50.com/BillDetail/776455,billtrack50
OK,,SB105,,State information technology; modifying duties of Chief Information Officer. Effective date. Emergency.,Approved by Governor 06/06/2017,6/6/2017,Leslie Osborn; Roger Thompson,38,9,https://www.billtrack50.com/BillDetail/904012,billtrack50
TX,,SB810,,Relating to the purchase and use of open educational resources.,Effective immediately,6/9/2017,Donna Howard; Lois Kolkhorst; Larry Taylor; Royce West,69,5,https://www.billtrack50.com/BillDetail/820200,billtrack50
TX,,HB3526,,Relating to instructional materials and technology for public schools.,Effective immediately,6/12/2017,Donna Howard; Larry Taylor,78,5,https://www.billtrack50.com/BillDetail/853130,billtrack50
TX,,SB1784,,Relating to open-source instructional material for public schools.,Effective immediately,6/15/2017,Dan Huberty; Larry Taylor,75,5,https://www.billtrack50.com/BillDetail/853685,billtrack50
US,,S1277,,VET TEC Act of 2017 Veteran Employment Through Technology Education Courses Act of 2017,Committee on Veterans' Affairs. Hearings held.,6/15/2017,John Boozman; Shelley Capito; John Cornyn; Dean Heller; Bill Nelson; James Risch,3,1,https://www.billtrack50.com/BillDetail/881057,billtrack50
US,,HR2627,,Enhancing Overseas Traveler Vetting Act,Referred to the Subcommittee on Terrorism; Nonproliferation; and Trade.,6/27/2017,Will Hurd; John Katko; Michael McCaul; Elise Stefanik; Filemon Vela,6,1,https://www.billtrack50.com/BillDetail/880749,billtrack50
US,,S1443,,Department of Defense Software Management Improvement Act of 2017,Read twice and referred to the Committee on Armed Services.,6/27/2017,Mike Rounds,1,1,https://www.billtrack50.com/BillDetail/885666,billtrack50
IL,,HJR0025,,BLOCKCHAIN TASK FORCE,Adopted Both Houses,6/28/2017,Neil Anderson; Daniel Biss; Keith Wheeler; Michael Zalewski,44,3,https://www.billtrack50.com/BillDetail/816880,billtrack50
US,,HR3100,,To require the President to develop a national strategy for combating the financing of terrorism and related forms of illicit finance; and for other purposes.,Referred to the House Committee on Financial Services.,6/28/2017,Sanford Bishop; Ted Budd; Lou Correa; Jim Costa; Charles Crist; Henry Cuellar; John Delaney; Vicente Gonzalez; Josh Gottheimer; Hakeem Jeffries; Dan Kildee; Daniel Lipinski; Stephen Lynch; Carolyn Maloney; Patrick Meehan; Luke Messer; Stephanie Murphy; Tom O'Halleran; Dennis Ross; Bradley Schneider; Austin Scott; Brad Sherman; Kyrsten Sinema; Steve Stivers; Mike Thompson,2,1,https://www.billtrack50.com/BillDetail/885797,billtrack50
US,,S722,,Countering Iran's Destabilizing Activities Act of 2017,Senate requests return of papers with respect to S. 722 by Unanimous Consent.,6/29/2017,Lamar Alexander; Michael Bennet; Richard Blumenthal; Roy Blunt; Cory Booker; John Boozman; Richard Burr; Maria Cantwell; Shelley Capito; Benjamin Cardin; Robert Casey; Bill Cassidy; Susan Collins; Christopher Coons; Bob Corker; John Cornyn; Tom Cotton; Mike Crapo; Ted Cruz; Steven Daines; Joe Donnelly; Joni Ernst; Deb Fischer; Jeff Flake; Cory Gardner; Chuck Grassley; Kamala Harris; Orrin Hatch; Heidi Heitkamp; Dean Heller; John Hoeven; James Inhofe; Timothy Kaine; John Kennedy; Angus King; Amy Klobuchar; Mike Lee; Joseph Manchin; John McCain; Claire McCaskill; Robert Menendez; Jerry Moran; Lisa Murkowski; Bill Nelson; David Perdue; Gary Peters; Robert Portman; James Risch; Pat Roberts; Mike Rounds; Marco Rubio; Benjamin Sasse; Charles Schumer; Tim Scott; Debbie Stabenow; Luther Strange; Daniel Sullivan; Jon Tester; Thom Tillis; Patrick Toomey; Chris Van Hollen; Mark Warner; Roger Wicker; Ron Wyden; Todd Young,43,3,https://www.billtrack50.com/BillDetail/861986,billtrack50
ME,,LD390,,An Act Making Unified Appropriations and Allocations for the Expenditures of State Government; General Fund and Other Funds and Changing Certain Provisions of the Law Necessary to the Proper Operations of State Government for the Fiscal Years Ending June 30; 2018 and June 30; 2019,Roll Call Ordered Roll Call Number 396 Yeas 35 - Nays 0 - Excused 0 - Absent 0,7/4/2017,Catherine Breen; Andrew Gattine; James Hamper; Tom Winsor,151,6,https://www.billtrack50.com/BillDetail/806750,billtrack50
US,,HR2676,,PRIDE Act Police Reporting Information; Data; and Evidence Act of 2017,Referred to the Subcommittee on Crime; Terrorism; Homeland Security; And Investigations.,7/11/2017,Joaquin Castro; Steve Cohen; Hank Johnson; Jamie Raskin,3,1,https://www.billtrack50.com/BillDetail/881036,billtrack50
US,,S1279,,Veterans Health Administration Reform Act of 2017,Committee on Veterans' Affairs. Hearings held.,7/11/2017,Mike Crapo; James Risch,3,1,https://www.billtrack50.com/BillDetail/881060,billtrack50
MA,,H2005,,Relative to innovative communities,Joint Committee on Economic Development and Emerging Technologies Hearing (10:30 7/18/2017 A-2),7/18/2017,Ann-Margaret Ferrante,4,1,https://www.billtrack50.com/BillDetail/851186,billtrack50
MA,,S197,,Relative to innovative communities,Joint Committee on Economic Development and Emerging Technologies Hearing (10:30 7/18/2017 A-2),7/18/2017,Eric Lesser; Karen Spilka,4,1,https://www.billtrack50.com/BillDetail/835185,billtrack50
US,,HR3203,,Countering Iran's Destabilizing Activities Act of 2017,Referred to the Subcommittee on Trade.,7/24/2017,Eliot Engel; Steny Hoyer; Nancy Pelosi,10,1,https://www.billtrack50.com/BillDetail/886765,billtrack50
US,,HR3321,,National Strategy for Combating Terrorist; Underground; and Other Illicit Financing Act,House Committee on Financial Services Hearing (10:00 7/25/2017 2128 RHOB),7/25/2017,Ted Budd; Steve Pearce; Kyrsten Sinema,3,1,https://www.billtrack50.com/BillDetail/887533,billtrack50
US,,HR3364,,Countering America's Adversaries Through Sanctions Act,Became Public Law No: 115-44. (TXT | PDF),8/2/2017,Steve Cohen; Eliot Engel; Steny Hoyer; Kevin McCarthy; Ed Royce; Chris Smith,26,3,https://www.billtrack50.com/BillDetail/887812,billtrack50
US,,S1598,,Harry W. Colmery Veterans Educational Assistance Act of 2017,Placed on Senate Legislative Calendar under General Orders. Calendar No. 200.,8/2/2017,Tammy Baldwin; Richard Blumenthal; Roy Blunt; John Boozman; Sherrod Brown; Maria Cantwell; Shelley Capito; Benjamin Cardin; Robert Casey; Bill Cassidy; Thad Cochran; Susan Collins; Christopher Coons; John Cornyn; Catherine Cortez-Masto; Mike Crapo; Steven Daines; Joe Donnelly; Tammy Duckworth; Dianne Feinstein; Deb Fischer; Al Franken; Kirsten Gillibrand; Lindsey Graham; Chuck Grassley; Maggie Hassan; Martin Heinrich; Heidi Heitkamp; Dean Heller; Mazie Hirono; James Inhofe; Johnny Isakson; Timothy Kaine; John Kennedy; Amy Klobuchar; Joseph Manchin; Edward Markey; John McCain; Claire McCaskill; Robert Menendez; Jeff Merkley; Jerry Moran; Lisa Murkowski; Patty Murray; Bill Nelson; Gary Peters; Jack Reed; Pat Roberts; Mike Rounds; Marco Rubio; Charles Schumer; Jeanne Shaheen; Debbie Stabenow; Luther Strange; Daniel Sullivan; Jon Tester; John Thune; Thom Tillis; Tom Udall; Chris Van Hollen; Mark Warner; Elizabeth Warren; Sheldon Whitehouse; Roger Wicker,6,2,https://www.billtrack50.com/BillDetail/887568,billtrack50
US,,HR3218,,Harry W. Colmery Veterans Educational Assistance Act of 2017,Became Public Law No: 115-48. (TXT | PDF),8/16/2017,Jodey Arrington; Jim Banks; Joyce Beatty; Ami Bera; John Bergman; Donald Beyer; Gus Bilirakis; Michael Bishop; Sanford Bishop; Madeleine Bordallo; Mike Bost; Brendan Boyle; Robert Brady; Susan Brooks; Anthony Brown; Julia Brownley; Cheri Bustos; G.K. Butterfield; Ken Calvert; Salud Carbajal; Andre Carson; Kathy Castor; Joaquin Castro; David Cicilline; Mike Coffman; Paul Cook; Lou Correa; Jim Costa; Ryan Costello; Joe Courtney; Henry Cuellar; Susan Davis; Peter DeFazio; Diana DeGette; Valdez Demings; Deborah Dingell; Neal Dunn; Keith Ellison; Anna Eshoo; Elizabeth Esty; Brian Fitzpatrick; Tulsi Gabbard; Jenniffer Gonzalez Colon; Josh Gottheimer; Gene Green; Raul Grijalva; Colleen Hanabusa; Dennis Heck; Brian Higgins; Clay Higgins; Will Hurd; Darrell Issa; Pramila Jayapal; Rohit Khanna; Dan Kildee; Derek Kilmer; Ron Kind; Peter King; Raja Krishnamoorthi; Raul Labrador; Daniel Lipinski; Alan Lowenthal; Michelle Lujan Grisham; Doris Matsui; Kevin McCarthy; David McKinley; Ann McLane Kuster; Luke Messer; Seth Moulton; Markwayne Mullin; Stephanie Murphy; Jerrold Nadler; Grace Napolitano; Eleanor Norton; Tom O'Halleran; Beto O'Rourke; Steven Palazzo; Jimmy Panetta; Bill Pascrell; Nancy Pelosi; Ed Perlmutter; Scott Peters; Collin Peterson; Bruce Poliquin; Jared Polis; Bill Posey; Aumua Radewagen; Jamie Raskin; Kathleen Rice; Cedric Richmond; Phil Roe; Jacklyn Rosen; Bobby Rush; John Rutherford; Tim Ryan; Gregorio Sablan; Bradley Schneider; Kurt Schrader; Bobby Scott; Carol Shea-Porter; Brad Sherman; Kyrsten Sinema; Louise Slaughter; Chris Smith; Lloyd Smucker; Thomas Suozzi; Mark Takano; Mike Thompson; Dina Titus; Niki Tsongas; Juan Vargas; Marc Veasey; Nydia Velazquez; Tim Walberg; Jackie Walorski; Tim Walz; Debbie Wasserman Schultz; Brad Wenstrup; Rob Wittman; John Yarmuth; David Young; Lee Zeldin,26,4,https://www.billtrack50.com/BillDetail/886888,billtrack50
US,,S1757,,Building America's Trust Act,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 208.,9/5/2017,John Barrasso; John Cornyn; Dean Heller; James Inhofe; Ron Johnson; James Lankford; Tim Scott; Thom Tillis; Roger Wicker,2,1,https://www.billtrack50.com/BillDetail/888776,billtrack50
US,,HR3591,,American Hope Act of 2017,Referred to the Subcommittee on Immigration And Border Security.,9/6/2017,Alma Adams; Peter Aguilar; Nanette Barragan; Karen Bass; Ami Bera; Donald Beyer; Sanford Bishop; Earl Blumenauer; Suzanne Bonamici; Brendan Boyle; Anthony Brown; Julia Brownley; G.K. Butterfield; Michael Capuano; Salud Carbajal; Tony Cardenas; Andre Carson; Kathy Castor; Joaquin Castro; Judy Chu; David Cicilline; Katherine Clark; Yvette Clarke; Lacy Clay; Emanuel Cleaver; James Clyburn; Steve Cohen; Gerry Connolly; John Conyers; Lou Correa; Jim Costa; Joe Courtney; Charles Crist; Joseph Crowley; Elijah Cummings; Danny Davis; Susan Davis; Peter DeFazio; Diana DeGette; John Delaney; Rosa DeLauro; Suzan DelBene; Mark DeSaulnier; Ted Deutch; Deborah Dingell; Lloyd Doggett; Keith Ellison; Eliot Engel; Anna Eshoo; Adriano Espaillat; Dwight Evans; Bill Foster; Lois Frankel; Marcia Fudge; Ruben Gallego; John Garamendi; Jimmy Gomez; Vicente Gonzalez; Al Green; Gene Green; Raul Grijalva; Luis Gutierrez; Colleen Hanabusa; Alcee Hastings; Dennis Heck; Steny Hoyer; Jared Huffman; Sheila Jackson Lee; Pramila Jayapal; Hakeem Jeffries; Hank Johnson; Marcy Kaptur; Robin Kelly; Joseph Kennedy; Rohit Khanna; Ruben Kihuen; Raja Krishnamoorthi; Jim Langevin; Rick Larsen; John Larson; Brenda Lawrence; Barbara Lee; Sandy Levin; John Lewis; Ted Lieu; Zoe Lofgren; Alan Lowenthal; Nita Lowey; Ben Lujan; Michelle Lujan Grisham; Carolyn Maloney; Sean Maloney; Doris Matsui; Betty McCollum; A. Donald McEachin; Jim McGovern; Ann McLane Kuster; Jerry McNerney; Gregory Meeks; Grace Meng; Gwen Moore; Seth Moulton; Jerrold Nadler; Grace Napolitano; Richard Nolan; Eleanor Norton; Tom O'Halleran; Frank Pallone; Jimmy Panetta; Donald Payne; Nancy Pelosi; Ed Perlmutter; Chellie Pingree; Mark Pocan; Jared Polis; David Price; Mike Quigley; Jamie Raskin; Kathleen Rice; Jacklyn Rosen; Lucille Roybal-Allard; Raul Ruiz; Dutch Ruppersberger; Bobby Rush; Tim Ryan; Gregorio Sablan; Linda Sanchez; John Sarbanes; Jan Schakowsky; Kurt Schrader; Bobby Scott; Jose Serrano; Terri Sewell; Carol Shea-Porter; Brad Sherman; Albio Sires; Louise Slaughter; Adam Smith; Darren Soto; Eric Swalwell; Mark Takano; Mike Thompson; Dina Titus; Paul Tonko; Norma Torres; Niki Tsongas; Juan Vargas; Marc Veasey; Filemon Vela; Nydia Velazquez; Tim Walz; Debbie Wasserman Schultz; Maxine Waters; Bonnie Watson Coleman; Peter Welch; Frederica Wilson; John Yarmuth,4,1,https://www.billtrack50.com/BillDetail/888281,billtrack50
US,,S1761,,Intelligence Authorization Act for Fiscal Year 2018,By Senator Burr from Select Committee on Intelligence filed written report. Report No. 115-151. Additional and Minority views filed.,9/7/2017,Richard Burr,3,1,https://www.billtrack50.com/BillDetail/889533,billtrack50
CA,,AB668,,Voting Modernization Bond Act of 2018.,Ordered to inactive file at the request of Senator Monning.,9/15/2017,David Chiu; Kansen Chu; Lorena Gonzalez; Robert Hertzberg,32,6,https://www.billtrack50.com/BillDetail/826159,billtrack50
US,,S1460,,Energy and Natural Resources Act of 2017,Committee on Energy and Natural Resources. Hearings held.,9/19/2017,Maria Cantwell; Lisa Murkowski,5,1,https://www.billtrack50.com/BillDetail/885776,billtrack50
IL,,HR0120,,BLOCKCHAIN TASK FORCE,Rule 19(b) / Re-referred to Rules Committee,9/28/2017,Michael Zalewski,13,1,https://www.billtrack50.com/BillDetail/816817,billtrack50
US,,HR3043,,Hydropower Policy Modernization Act of 2017,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,11/9/2017,Cathy McMorris Rodgers,41,3,https://www.billtrack50.com/BillDetail/885375,billtrack50
MA,,S54,,Creating a means for tracking the unmet need of individuals with developmental disabilities in the Commonwealth,Bill reported favorably by committee and referred to the committee on Senate Ways and Means,11/15/2017,Diana Dizoglio; James Eldridge; Barbara L'Italien; Jack Lewis; Juana Matias; James Murphy; Angelo Scaccia,5,1,https://www.billtrack50.com/BillDetail/835867,billtrack50
US,,HR2874,,21st Century Flood Reform Act,Received in the Senate and Read twice and referred to the Committee on Banking; Housing; and Urban Affairs.,11/15/2017,Sean Duffy,23,3,https://www.billtrack50.com/BillDetail/883750,billtrack50
US,,HRes537,,Promoting United States national security and foreign policy objectives through consolidation and strengthening of the rule of law and respect for human rights in the Republic of Azerbaijan.,Referred to the Subcommittee on Europe; Eurasia; and Emerging Threats.,11/29/2017,Jim McGovern; Frank Pallone; Adam Schiff; Chris Smith,4,1,https://www.billtrack50.com/BillDetail/891673,billtrack50
HI,,SB1126,,Relating To Technology Development.,Carried over to 2018 Regular Session.,11/30/2017,Brian Taniguchi,4,1,https://www.billtrack50.com/BillDetail/907122,billtrack50
US,,HR4491,,Advancing International and Foreign Language Education Act,Referred to the House Committee on Education and the Workforce.,11/30/2017,Susan Davis; David Price; Bobby Scott,2,1,https://www.billtrack50.com/BillDetail/898147,billtrack50
MA,,H100,,Creating a means for tracking the unmet need of individuals with developmental disabilities in the Commonwealth of Massachusetts,Hearing scheduled for 12/05/17 from 12:00PM-5:00PM in B-1,12/5/2017,Michael Connolly; William Crocker; Diana Dizoglio; Sean Garballey; Natalie Higgins; Barbara L'Italien; Jack Lewis; Juana Matias; Denise Provost,4,1,https://www.billtrack50.com/BillDetail/840820,billtrack50
US,,S2192,,SECURE Act of 2017 Security; Enforcement; and Compassion United in Reform Efforts Act,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 275.,12/6/2017,John Cornyn; Tom Cotton; Chuck Grassley; James Lankford; David Perdue; Thom Tillis,2,1,https://www.billtrack50.com/BillDetail/899308,billtrack50
US,,HR2810,,National Defense Authorization Act for Fiscal Year 2018,Became Public Law No: 115-91.,12/12/2017,Adam Smith; Mac Thornberry,392,5,https://www.billtrack50.com/BillDetail/883087,billtrack50
US,,S2255,,Advancing International and Foreign Language Education Act,Read twice and referred to the Committee on Health; Education; Labor; and Pensions.,12/20/2017,Tammy Baldwin; Joe Donnelly; Robert Portman; Chris Van Hollen; Todd Young,1,1,https://www.billtrack50.com/BillDetail/902572,billtrack50
NY,,A04521,,Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs.,referred to ways and means,1/3/2018,Ellen Jaffee; Dan Quart; David Weprin,2,1,https://www.billtrack50.com/BillDetail/808360,billtrack50
NY,,A08296,,Enacts the college textbook affordability act; establishes the New York state open education resources council and the New York state open source digital library; authorizes SUNY campuses and community colleges to adopt open educational resources adoption incentive program campus plans and apply for grants to implement such plans; provides that settlements with the office of the attorney general shall be used to provide assistance to the state university of New York for the purposes of carrying ,REFERRED TO HIGHER EDUCATION,1/3/2018,Angelo Santabarbara,2,1,https://www.billtrack50.com/BillDetail/882730,billtrack50
WA,,HB1253,,Making higher education more affordable by providing incentives for the use of open source instructional materials.,By resolution; reintroduced and retained in present status.,1/8/2018,Steve Bergquist; Beth Doglio; Jessyn Farrell; Roger Goodman; Mark Hargrove; Christine Kilduff; John Lovick; Bob McCaslin; Dick Muri; Timm Ormsby; Lillian Ortiz-Self; Sharon Santos; Melanie Stambaugh; Gael Tarleton; Luanne Van Werven; Jesse Young,7,1,https://www.billtrack50.com/BillDetail/778396,billtrack50
WA,,SB5981,,Concerning the capital budget.,"Senate Rules ""X"" file.",1/8/2018,Jim Honeyford; Judith Warnick,5,1,https://www.billtrack50.com/BillDetail/887390,billtrack50
US,,HR4752,,Financial Technology Innovation and Defense Act,Referred to the House Committee on Financial Services.,1/10/2018,Ted Budd,2,1,https://www.billtrack50.com/BillDetail/917648,billtrack50
US,,S2290,,Wildfire Management Technology Advancement Act of 2018,Read twice and referred to the Committee on Energy and Natural Resources.,1/10/2018,Maria Cantwell; Cory Gardner,1,1,https://www.billtrack50.com/BillDetail/917640,billtrack50
HI,,HB1329,,Relating To Technology Development.,Received notice of all Senate conferees being discharged (Sen. Com. No. 1).,1/17/2018,Thomas Brower; Jarrett Keohokalole; Mark Nakashima; Scott Nishimoto; Scott Saiki; Chris Todd; Kyle Yamashita,43,3,https://www.billtrack50.com/BillDetail/908241,billtrack50
US,,S1519,,National Defense Authorization Act for Fiscal Year 2018,Motion to proceed to consideration of measure made in Senate. (CR S270),1/18/2018,John McCain,9,1,https://www.billtrack50.com/BillDetail/886380,billtrack50
