State,Session,Bill-Number,Introduced,Name,Last-Action,Action-Date,Sponsor-List,Actions,Versions,Bill-Url,Source
OK,,SB760,,Oklahoma Information Services Act; deleting obsolete language. Effective date.,Pending authorship Representative(s) Murphey,2/10/2011,Clark Jolley,4,1,https://www.billtrack50.com/BillDetail/146852,billtrack50
TX,,HB560,,Relating to electronic textbooks; state-developed open-source textbooks; and other instructional materials for public schools.,Referred to Public Education,2/18/2011,Wayne Christian; Dan Flynn,3,1,https://www.billtrack50.com/BillDetail/117690,billtrack50
TX,,HB2302,,Relating to transferring to the Texas Education Agency and the commissioner of education the statutorily assigned responsibilities of the State Board of Education concerning textbooks.,Referred to Public Education,3/10/2011,Garnet Coleman,3,1,https://www.billtrack50.com/BillDetail/124179,billtrack50
TX,,HB2464,,Relating to textbooks adopted by the State Board of Education for public schools.,Referred to Public Education,3/14/2011,John Frullo,3,1,https://www.billtrack50.com/BillDetail/121345,billtrack50
VT,,H0434,,An Act Relating To Comparing The Costs And Benefits Of Downloading Free Open Source Software With Purchasing Proprietary Computer Software,Read First Time and Referred to the Committee on Government Operations,3/18/2011,Kevin Christie; Susan Davis; Terry Macaig; Robert South; Robert South; Therese Taylor,1,1,https://www.billtrack50.com/BillDetail/110974,billtrack50
TX,,HB1539,,Relating to state ownership of school textbooks.,Left pending in committee,3/22/2011,Scott Hochberg,8,1,https://www.billtrack50.com/BillDetail/119748,billtrack50
UT,,SB0002,,New Fiscal Year Supplemental Appropriations Act,Governor Signed in LTGOV,3/29/2011,Melvin Brown; Lyle Hillyard,19,3,https://www.billtrack50.com/BillDetail/106893,billtrack50
TX,,SB6,,Relating to the foundation curriculum; the establishment of the instructional materials allotment; and the adoption; review; and purchase of instructional materials and technological equipment for public schools.,Referred to Public Education,4/14/2011,Florence Shapiro; Leticia Van de Putte,31,3,https://www.billtrack50.com/BillDetail/123490,billtrack50
OK,,HB1304,,Technology; creating the Information Technology Consolidation and Coordination Act.,Approved by Governor 05/24/2011,5/20/2011,Rick Brinkley; David Derby; Clark Jolley,42,3,https://www.billtrack50.com/BillDetail/88035,billtrack50
OK,,HB1304,,Technology; creating the Information Technology Consolidation and Coordination Act.,Approved by Governor 05/24/2011,5/20/2011,Rick Brinkley; David Derby; Clark Jolley,42,3,https://www.billtrack50.com/BillDetail/146685,billtrack50
AL,,SB382,,State agencies; computers and technology; open source software authorized; Finance Department to implement and administer,Read for the first time and referred to the House of Representatives committee on State Government,5/25/2011,Quinton Ross,5,1,https://www.billtrack50.com/BillDetail/4455,billtrack50
